shz4223367,7000,2室 2厅,70,高区/6层,朝南北,徐汇,漕河泾,2017.11.23,航天新苑,虹梅路2015弄
shz4218082,5800,2室 1厅,66,中区/16层,暂无数据,徐汇,漕河泾,2017.09.15,钦江大楼,钦江路15号
shz4375685,8500,2室 2厅,87,中区/35层,暂无数据,徐汇,漕河泾,2017.12.24,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4365041,8900,3室 1厅,87,中区/28层,暂无数据,徐汇,漕河泾,2017.12.17,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4241094,8500,2室 2厅,90,高区/35层,朝南,徐汇,漕河泾,2017.09.29,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4236919,4500,1室 1厅,58,低区/34层,朝南,徐汇,漕河泾,2017.09.27,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shzr100023664,6160,2室 1厅,62.72,高区/6层,南,徐汇,漕河泾,2017.12.30,虹梅小区,虹梅路2666弄
shz4021506,7500,2室 1厅,77,中区/17层,暂无数据,徐汇,漕河泾,2017.06.09,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4409702,5000,1室 2厅,58,中区/34层,暂无数据,徐汇,漕河泾,2018.01.16,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4408178,7000,2室 2厅,93,高区/6层,朝南,徐汇,漕河泾,2018.01.15,虹梅小区,虹梅路2666弄
shz4398259,7000,2室 2厅,93,中区/6层,朝南北,徐汇,漕河泾,2018.01.09,虹梅小区,虹梅路2666弄
shz4381990,3700,1室 1厅,35,中区/6层,朝北,徐汇,漕河泾,2017.12.29,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4395401,8500,3室 1厅,90,高区/35层,朝南,徐汇,漕河泾,2018.01.07,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4301154,6700,2室 1厅,85,低区/6层,朝南北,徐汇,漕河泾,2017.11.06,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4399097,9000,2室 2厅,88,低区/24层,朝南,徐汇,漕河泾,2018.01.09,凯迪虹桥晶舍,桂林路666弄
shz4386721,6700,2室 1厅,58,低区/34层,暂无数据,徐汇,漕河泾,2018.01.01,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4386700,6700,1室 1厅,58,低区/34层,暂无数据,徐汇,漕河泾,2018.01.01,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shz4377457,7800,2室 2厅,82,高区/6层,暂无数据,徐汇,漕河泾,2017.12.26,航天新苑,虹梅路2015弄
shz4283091,7500,2室 2厅,84,低区/6层,暂无数据,徐汇,漕河泾,2017.10.26,航天新苑,虹梅路2015弄
shz4228410,4800,2室 0厅,56,高区/7层,暂无数据,徐汇,漕河泾,2017.09.21,钦江路47弄,钦江路47弄
shz4409604,4100,1室 1厅,55,中区/11层,暂无数据,徐汇,漕河泾,2018.01.16,东方康洛,钦江路28弄1-15号
shz4360832,9000,2室 2厅,88,低区/23层,暂无数据,徐汇,漕河泾,2017.12.15,华悦家园,虹漕路3号， 虹漕路21号， 虹漕路23号， 虹漕路19弄
shzr100043914,2930,3室1厅,14.7,中区/6层,南,徐汇,漕河泾,2017.11.19,欣嘉苑,苍梧路468弄，钦州北路1018弄
shzr100043294,2530,3室1厅,9.0,高区/6层,东,徐汇,漕河泾,2017.11.14,欣嘉苑,苍梧路468弄，钦州北路1018弄
shzr100043293,2830,3室1厅,12.9,高区/6层,南,徐汇,漕河泾,2017.11.15,欣嘉苑,苍梧路468弄，钦州北路1018弄
shz4362759,8500,2室 2厅,88,低区/24层,朝南,徐汇,漕河泾,2017.12.16,凯迪虹桥晶舍,桂林路666弄
shz4356892,13000,3室 2厅,132,低区/18层,朝南北,徐汇,漕河泾,2017.12.12,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4342786,4600,1室 1厅,46,中区/6层,朝西北,徐汇,漕河泾,2017.12.03,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4334531,8500,2室 2厅,98,中区/13层,暂无数据,徐汇,漕河泾,2017.11.28,航天公寓,钦州北路939弄，钦州北路927弄
shz4253138,6500,2室 1厅,62,高区/7层,暂无数据,徐汇,漕河泾,2017.10.08,桂林苑,桂林路399号，钦州北路885弄，钦州北路888弄
shz4204030,5600,2室 0厅,56,中区/7层,朝南北,徐汇,漕河泾,2017.09.07,钦江路47弄,钦江路47弄
shz4182420,15000,3室 2厅,135,中区/18层,朝南北,徐汇,漕河泾,2017.08.27,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
shz4346250,7500,2室 1厅,77,高区/17层,暂无数据,徐汇,漕河泾,2017.12.05,永兆豪庭,虹梅路2125弄， 虹梅路2588弄
